flight_loc_county_id,holding_id,country_id,state_id,county_id
35536,507664,1,5,203
27768,507665,1,5,217
35540,507666,1,5,229
35543,507667,1,5,203
24313,507668,1,28,1761
24312,507668,1,28,1759
35545,507669,1,5,236
27135,507670,1,5,203
35552,507671,1,5,238
35553,507672,1,3,102
24322,507673,1,5,203
32260,507674,1,12,574
35646,507675,1,5,203
32681,507676,1,5,203
35647,507677,1,5,217
35649,507678,1,5,214
35651,507680,1,5,203
35688,507681,1,28,1748
28951,507682,1,5,205
35662,507683,1,5,203
28952,507684,1,5,195
35692,509337,1,5,226
35669,507686,1,5,203
35672,507687,1,5,203
35673,507688,1,5,203
32370,507689,1,3,98
35674,507690,1,5,240
35675,507691,1,5,214
35507,507692,1,37,2224
35506,507692,1,28,1761
35505,507692,1,28,1748
26639,507693,1,5,224
24442,507694,1,5,233
24441,507694,1,5,207
35508,507695,1,3,102
24437,507696,1,5,221
35510,507697,1,3,100
35509,507697,1,3,99
32272,507698,1,5,203
24452,507699,1,5,203
24454,507700,1,3,108
24464,507701,1,5,199
24629,505838,1,5,224
32278,507702,1,5,220
32147,507703,1,5,203
24484,505477,1,31,1808
28025,505476,1,5,240
28024,505475,1,5,226
28022,505474,1,5,226
24492,505472,1,5,240
24493,505471,1,5,226
24494,505470,1,5,226
24544,505469,1,5,208
32747,507704,1,50,3120
32746,507704,1,26,1598
32749,507705,1,3,108
32748,507705,1,3,102
24518,507706,1,5,203
32280,507707,1,5,203
24542,505467,1,5,208
24543,505468,1,5,234
24541,505797,1,5,194
24524,505673,1,50,3137
24526,505439,1,5,226
27883,505438,1,5,226
27882,505437,1,5,199
27878,505435,1,5,224
24531,505434,1,5,226
27891,505331,1,5,226
24537,505433,1,5,226
24536,505433,1,5,224
27509,507708,1,5,240
28299,506201,1,5,240
28298,506199,1,5,226
28297,506196,1,5,226
28295,506195,1,5,240
28294,506097,1,5,226
28293,506096,1,5,211
28292,506095,1,5,226
24577,506197,1,5,240
33587,502558,1,5,190
33538,507709,1,5,226
24593,506098,1,5,240
24705,506088,1,5,224
28289,506087,1,5,226
24595,506094,1,5,226
33489,504362,1,5,203
24608,505842,1,5,214
29431,507711,1,5,221
29446,507712,1,5,221
28287,505839,1,5,226
25139,506725,1,5,203
24642,505830,1,5,226
31709,507201,1,5,199
33379,506701,1,5,203
34855,507713,1,5,203
29275,507714,1,5,221
24701,505835,1,5,214
24691,505834,1,5,224
28286,505833,1,5,226
24699,505831,1,5,226
28290,506089,1,5,226
33501,507715,1,5,224
28291,506091,1,5,240
30948,507716,1,5,221
30946,507717,1,5,221
30943,507718,1,5,214
29276,507719,1,5,203
31703,507720,1,5,240
31700,507199,1,5,203
31702,507720,1,5,203
31826,507215,1,5,199
24866,507721,1,5,238
24865,507721,1,5,200
24864,507721,1,5,199
24863,507721,1,5,194
24930,507449,1,5,220
24942,508892,1,5,197
24943,508892,1,3,109
24944,508892,1,26,1602
24945,508892,1,41,2369
29552,508893,1,5,217
34495,507444,1,5,199
31851,507726,1,5,226
33403,507344,1,5,206
31990,503108,1,5,191
33405,507345,1,5,206
34752,508896,1,5,199
25148,507485,1,5,228
34397,507347,1,5,208
34456,507342,1,5,223
34455,507342,1,5,208
34325,507303,1,5,200
34324,507303,1,5,199
29114,502450,1,5,191
29113,502450,1,5,185
25285,507298,1,5,235
32750,507752,1,50,3139
25366,507753,1,5,203
25364,507754,1,5,203
34839,507547,1,44,2788
34810,507513,1,43,2774
34809,507513,1,43,2735
34808,507513,1,43,2629
34807,507513,1,43,2552
32275,507755,1,5,240
34827,507541,1,5,203
35527,507493,1,36,2181
35526,507493,1,36,2171
35525,507493,1,36,2165
35524,507493,1,36,2143
35523,507493,1,16,904
35522,507493,1,16,894
34802,507507,1,43,2716
34801,507507,1,43,2672
34800,507507,1,31,1807
34799,507507,1,31,1802
25362,507756,1,5,203
32276,507757,1,5,203
25342,508897,1,5,203
25360,507758,1,5,198
26490,507870,1,5,242
26489,507870,1,5,215
26488,507870,1,5,202
32371,507751,1,5,203
32274,507760,1,5,203
34471,507398,1,5,227
32013,507451,1,5,199
25634,507767,1,5,203
25700,507770,1,5,238
32281,507771,1,5,203
32725,507772,1,5,203
25667,507775,1,5,223
32683,507776,1,5,203
25669,507778,1,5,203
25675,507779,1,5,238
25674,507779,1,5,236
25673,507779,1,5,195
32734,507780,1,5,218
32682,507781,1,5,240
32684,507782,1,5,233
32755,507784,1,47,2972
25681,507785,1,5,203
32685,507786,1,5,226
25685,507787,1,5,199
25689,507788,1,26,1622
25687,507789,1,26,1617
25688,507789,1,26,1622
25694,507793,1,5,221
25696,507795,1,5,203
26469,507797,1,5,227
25707,507798,1,5,188
29140,507799,1,12,592
25709,507794,1,5,203
32733,507800,1,5,203
32731,507801,1,5,203
25712,507803,1,45,2817
25713,507803,1,45,2818
26008,507955,1,5,227
25730,507806,1,5,240
25726,507807,1,5,220
25727,507808,1,5,203
25728,507809,1,5,214
25778,507810,1,5,211
33129,507811,1,46,2950
33128,507811,1,46,2853
26435,507812,1,5,221
25735,507813,1,5,203
25737,507814,1,5,221
25741,507815,1,5,220
25744,507816,1,5,203
25743,507817,1,5,203
33131,507820,1,20,1205
33130,507820,1,20,1193
33671,507821,1,5,203
25748,507822,1,5,220
26503,506432,1,5,203
25757,507825,1,5,241
25756,507825,1,5,218
25761,507826,1,5,199
25762,507827,1,5,203
25759,507828,1,5,199
25763,507829,1,5,238
25764,507830,1,5,203
25767,507831,1,5,203
33672,507832,1,3,103
25769,507833,1,5,203
28479,507834,1,5,233
28478,507834,1,5,207
28477,507834,1,5,187
25776,507835,1,5,203
25777,507836,1,5,225
25781,507837,1,5,189
25782,507837,1,5,239
25784,507839,1,5,195
25785,507839,1,5,236
27732,507842,1,5,231
27731,507842,1,5,229
25789,507843,1,5,229
33676,507844,1,50,3135
33675,507844,1,50,3128
25792,507845,1,34,2041
25793,507846,1,5,203
32756,507847,1,47,2975
25796,507849,1,5,238
25797,507850,1,5,203
25803,507851,1,37,2225
25802,507851,1,37,2224
29344,507852,1,5,242
25807,507853,1,5,218
26487,507854,1,50,3133
26486,507854,1,26,1601
25811,507804,1,5,203
27782,507994,1,5,240
26294,507792,1,5,203
25841,507855,1,5,203
25842,507856,1,5,193
25843,507856,1,5,215
25844,507858,1,5,205
25845,507859,1,3,96
25846,507859,1,3,107
33677,507861,1,44,2794
25861,507862,1,5,199
25849,508899,1,5,203
25857,508900,1,5,203
25855,508901,1,5,203
25856,508902,1,5,203
25858,508903,1,5,199
25859,508904,1,5,199
25860,508905,1,5,199
27953,507863,1,5,203
33265,507864,1,5,203
25865,507866,1,5,203
26160,507868,1,5,203
25871,507869,1,5,203
27733,507871,1,5,203
25873,507872,1,5,232
25874,507872,1,5,241
25875,507873,1,5,204
25876,508906,1,5,204
27730,507874,1,5,241
25977,507875,1,5,220
25976,507875,1,5,217
25965,507876,1,3,105
25966,507876,1,3,106
25975,507877,1,3,99
25968,507878,1,5,203
25969,507879,1,5,240
26608,507880,1,5,217
33257,507881,1,5,220
33256,507881,1,5,217
33255,507881,1,5,214
25974,507883,1,5,203
25992,507884,1,5,203
26514,507885,1,5,226
26513,507885,1,5,224
25998,507887,1,5,211
30449,506428,1,5,224
30448,506428,1,5,211
26004,506438,1,5,227
26005,507953,1,5,227
26006,507954,1,5,227
26012,508907,1,5,227
26016,507888,1,5,220
33491,506702,1,5,185
27735,507889,1,5,231
27734,507889,1,5,229
33678,507890,1,26,1612
26044,507891,1,5,199
27736,507892,1,5,199
26580,507894,1,5,199
33679,507895,1,3,106
26050,507896,1,5,203
33411,507226,1,5,194
26085,507897,1,5,203
26084,507898,1,5,203
27737,507899,1,5,220
33262,507906,1,5,203
27739,507907,1,5,217
27738,507907,1,5,214
26107,507908,1,5,203
30955,507910,1,5,203
26110,507911,1,5,203
26099,507912,1,5,203
27741,507914,1,5,199
26109,507915,1,5,232
26112,507916,1,5,191
33750,502314,1,5,219
27743,507917,1,5,205
26116,507918,1,17,1071
26117,507918,1,17,1109
26120,507920,1,5,203
27744,507922,1,5,213
27745,507923,1,5,203
33759,507924,1,43,2748
26123,507925,1,5,197
26125,507926,1,5,224
33683,507927,1,47,2963
33682,507927,1,47,2955
33470,502360,1,5,199
26129,507930,1,5,225
26130,507932,1,5,203
33753,507933,1,17,1088
33752,507933,1,17,1058
33755,507935,1,35,2072
26138,507936,1,5,203
27761,507937,1,5,203
27762,507938,1,5,199
33684,507939,1,3,108
33687,507941,1,18,1145
33686,507941,1,4,131
33685,507941,1,4,111
26386,507945,1,5,220
26385,507945,1,5,217
26384,507945,1,5,197
35670,508910,1,5,203
27763,507946,1,5,220
27764,507947,1,5,221
27765,507948,1,5,220
27790,507949,1,5,203
27788,507950,1,5,204
27787,507950,1,5,194
26240,508911,1,31,1807
26241,508911,1,43,2604
26242,508911,1,43,2772
27766,507951,1,5,203
26245,507952,1,5,203
27767,508912,1,5,203
26247,507957,1,5,203
27772,507958,1,5,203
33601,507959,1,5,191
33698,507961,1,3,108
33697,507961,1,3,104
33696,507961,1,3,102
33695,507961,1,3,98
33694,507961,1,3,97
27769,507960,1,5,199
33605,507263,1,47,2969
27771,507963,1,5,199
33706,507964,1,43,2644
33705,507964,1,43,2605
33704,507964,1,43,2557
33703,507964,1,18,1123
27770,507965,1,5,240
33658,507966,1,28,1762
33657,507966,1,28,1758
33656,507966,1,28,1755
33655,507966,1,28,1752
26274,507967,1,5,198
26275,507969,1,5,203
26276,507970,1,5,203
33659,507971,1,3,102
33662,507972,1,3,102
26281,507973,1,5,198
26282,507973,1,5,220
26283,507973,1,28,1758
27775,507974,1,5,221
27774,507974,1,5,217
26286,507975,1,5,203
26302,507978,1,5,220
26301,507978,1,5,214
26300,507978,1,5,203
27784,507977,1,5,220
27773,507976,1,5,220
26305,507981,1,5,203
27777,507982,1,5,238
26434,507983,1,3,109
26433,507983,1,5,197
26432,507984,1,5,214
33665,507985,1,5,240
26404,507986,1,5,185
26405,507986,1,5,211
26406,507986,1,5,224
26407,507986,1,5,228
33666,507987,1,5,227
26410,507988,1,5,227
33707,507989,1,37,2232
33669,507990,1,28,1758
33670,507991,1,28,1758
33766,507992,1,5,217
26416,507993,1,5,203
33770,507995,1,21,1227
33769,507995,1,21,1226
33771,507996,1,21,1220
28460,507997,1,5,199
28459,507997,1,5,198
33772,507998,1,5,217
27183,507999,1,44,2798
27182,507999,1,28,1754
27181,507999,1,28,1752
27180,507999,1,28,1750
33773,508000,1,5,203
27781,508001,1,5,238
27780,508001,1,5,199
26863,508002,1,5,202
30951,502406,1,5,214
30950,502406,1,5,203
26440,508004,1,5,203
26441,508005,1,5,188
26442,508005,1,5,190
26443,508005,1,5,195
26444,508005,1,5,218
26445,508005,1,5,235
26446,508005,1,5,242
26555,508006,1,5,217
26554,508006,1,5,197
33774,508007,1,5,203
34460,508008,1,3,106
33708,508009,1,3,106
33775,508010,1,5,238
34461,508011,1,5,203
34462,508012,1,5,238
26464,508013,1,5,203
27778,508016,1,5,203
27174,508015,1,50,3131
27173,508015,1,50,3128
26468,508017,1,5,217
26473,508913,1,5,191
26472,508913,1,5,185
33709,508018,1,50,3131
26553,508019,1,5,203
34463,508020,1,5,240
31735,508021,1,1,64
31734,508021,1,1,63
31733,508021,1,1,37
33383,504310,1,5,200
33382,504310,1,5,199
33381,504310,1,5,194
27729,507874,1,5,218
27728,507874,1,5,215
27740,507913,1,5,203
27757,508914,1,5,226
27742,508915,1,5,217
26570,508917,1,31,1796
34464,508022,1,5,203
27012,508023,1,5,226
33710,508024,1,1,67
27170,508025,1,5,238
33711,508026,1,3,98
34465,508027,1,5,217
26582,508028,1,5,203
27168,508029,1,43,2726
27167,508029,1,43,2717
27166,508029,1,43,2699
27165,508029,1,43,2658
27164,508029,1,43,2646
27163,508029,1,43,2545
34466,508030,1,5,203
