id,holding_id,County,Region,Format,Notes,Restrictions,image_name
429,502668,"SAN LUIS OBISPO","MORRO BAY & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
430,502357,"SAN LUIS OBISPO","NORTH COAST",NULL,NULL,NULL,san_luis_obispo.jpg
431,502359,"SAN LUIS OBISPO","NORTH COAST",P,NULL,NULL,san_luis_obispo.jpg
432,502361,"SAN LUIS OBISPO","NORTH COAST",P,"Partial Coverage",NULL,san_luis_obispo.jpg
435,502108,"SAN LUIS OBISPO","NORTH COAST",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
437,502804,"SAN LUIS OBISPO","NORTH COAST",NULL,NULL,NULL,san_luis_obispo.jpg
440,502667,"SAN LUIS OBISPO","NORTH COAST",NULL,NULL,NULL,san_luis_obispo.jpg
442,502668,"SAN LUIS OBISPO","NORTH COAST",NULL,NULL,NULL,san_luis_obispo.jpg
444,502357,"SAN LUIS OBISPO","PASO ROBLES",NULL,NULL,NULL,san_luis_obispo.jpg
446,502359,"SAN LUIS OBISPO","PASO ROBLES",P,NULL,NULL,san_luis_obispo.jpg
449,502360,"SAN LUIS OBISPO","PASO ROBLES",P,NULL,NULL,san_luis_obispo.jpg
450,503142,"SAN LUIS OBISPO","PASO ROBLES",P,"City of Paso Robles",NULL,san_luis_obispo.jpg
452,502361,"SAN LUIS OBISPO","PASO ROBLES",P,NULL,NULL,san_luis_obispo.jpg
453,503119,"SAN LUIS OBISPO","PASO ROBLES",P,"City of Paso Robles ",NULL,san_luis_obispo.jpg
455,502804,"SAN LUIS OBISPO","PASO ROBLES",NULL,NULL,NULL,san_luis_obispo.jpg
457,502607,"SAN LUIS OBISPO","PASO ROBLES",P,NULL,NULL,san_luis_obispo.jpg
458,502667,"SAN LUIS OBISPO","PASO ROBLES",NULL,NULL,NULL,san_luis_obispo.jpg
460,502668,"SAN LUIS OBISPO","PASO ROBLES",NULL,NULL,NULL,san_luis_obispo.jpg
461,502357,"SAN LUIS OBISPO","SAN LUIS OBISPO",NULL,NULL,NULL,san_luis_obispo.jpg
462,502359,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,NULL,NULL,san_luis_obispo.jpg
463,503005,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,NULL,NULL,san_luis_obispo.jpg
465,503044,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,NULL,NULL,san_luis_obispo.jpg
467,502361,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,NULL,NULL,san_luis_obispo.jpg
468,503061,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,"Partial Coverage",NULL,san_luis_obispo.jpg
471,502804,"SAN LUIS OBISPO","SAN LUIS OBISPO",NULL,NULL,NULL,san_luis_obispo.jpg
474,502607,"SAN LUIS OBISPO","SAN LUIS OBISPO",P,NULL,NULL,san_luis_obispo.jpg
475,502667,"SAN LUIS OBISPO","SAN LUIS OBISPO",NULL,NULL,NULL,san_luis_obispo.jpg
480,502668,"SAN LUIS OBISPO","SAN LUIS OBISPO",NULL,NULL,NULL,san_luis_obispo.jpg
481,502450,"SAN LUIS OBISPO","SHANDON & VICINITY",NULL,"Area north of Shandon",NULL,san_luis_obispo.jpg
482,502408,"SAN LUIS OBISPO","SHANDON & VICINITY",NULL,"Partial Coverage",NULL,san_luis_obispo.jpg
483,502359,"SAN LUIS OBISPO","SHANDON & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
484,502360,"SAN LUIS OBISPO","SHANDON & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
485,502361,"SAN LUIS OBISPO","SHANDON & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
486,502804,"SAN LUIS OBISPO","SHANDON & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
488,502607,"SAN LUIS OBISPO","SHANDON & VICINITY",P,NULL,NULL,san_luis_obispo.jpg
489,502667,"SAN LUIS OBISPO","SHANDON & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
491,502668,"SAN LUIS OBISPO","SHANDON & VICINITY",NULL,NULL,NULL,san_luis_obispo.jpg
493,502442,"SANTA BARBARA","CARPINTERIA VALLEY",P,NULL,NULL,santa_barbara.jpg
494,502444,"SANTA BARBARA","CARPINTERIA VALLEY",P,NULL,NULL,santa_barbara.jpg
495,502381,"SANTA BARBARA","CARPINTERIA VALLEY",P,"Partial Coverage",NULL,santa_barbara.jpg
498,502582,"SANTA BARBARA","CARPINTERIA VALLEY",P,NULL,NULL,santa_barbara.jpg
499,502382,"SANTA BARBARA","CARPINTERIA VALLEY",P,NULL,NULL,santa_barbara.jpg
501,502624,"SANTA BARBARA","CARPINTERIA VALLEY",P,"photographs are 9""x18""",NULL,santa_barbara.jpg
