flight_loc_country_id,holding_id,country_id
20416,502728,1
20440,502750,1
20485,502780,1
6896,502781,1
7286,502782,1
6882,502784,1
6879,502785,1
6838,502786,1
21065,502787,1
21085,502788,1
6625,502789,1
6215,502791,1
6209,502792,1
10993,502793,1
3414,502794,1
6125,502795,1
6124,502796,1
6123,502797,1
6121,502798,1
6120,502799,1
6021,502800,1
19150,502801,1
21187,502802,1
21176,502803,1
15682,502804,1
6017,502806,1
4412,502808,1
4411,502809,1
11894,502810,1
6534,502811,1
11898,502812,1
4848,502813,1
6003,502814,1
19141,502815,1
11957,502816,1
18729,503000,1
5731,503001,1
17672,503002,1
6407,503003,1
7438,503004,1
20703,503005,1
20699,503006,1
9480,503007,1
20700,503008,1
20708,503009,1
6011,503010,1
6012,503011,1
16087,503012,1
6418,503013,1
7402,503014,1
21168,503015,1
6423,503016,1
19539,503017,1
6425,503018,1
753,503019,1
20704,503020,1
8350,503021,1
756,503022,1
6428,503023,1
9140,507156,24
9633,503025,1
17234,503026,1
6325,503027,1
20478,503028,1
17804,503029,1
4682,503030,1
17470,503031,1
5560,503032,1
20924,503033,1
5895,503034,1
5923,503035,1
7441,503036,1
6533,503037,1
20707,503038,1
8538,503039,1
10288,503040,1
6039,503041,1
10951,503042,1
3268,503043,1
13221,503044,1
10294,503045,1
10295,503046,1
19603,503047,1
782,503048,1
17815,503049,1
6434,503050,1
785,503051,1
6898,503053,1
6877,503054,1
11819,503055,1
6020,503056,1
6179,503057,1
20863,503058,1
20132,503059,1
793,503060,1
794,503061,1
795,503062,1
796,503063,1
6551,503064,1
10323,503065,1
13317,503066,1
13318,503067,1
13249,503068,1
4250,503069,1
803,503070,1
20348,503071,1
20316,503073,1
20359,503077,1
6858,503081,1
13089,503084,1
4861,503085,1
3732,503086,1
20846,503087,1
7019,503090,1
7091,503094,1
4308,503095,1
7145,503096,1
20691,503097,1
6724,503099,1
17241,503100,1
6611,503101,1
9049,503102,1
17849,503103,1
7439,503104,1
6305,503105,1
15901,503106,1
17826,503107,1
19157,503108,1
19176,503109,1
19177,503110,1
4859,503111,1
4858,503112,1
11810,503113,1
21185,503114,1
833,503115,1
834,503116,1
835,503117,1
20692,503118,1
6102,503119,1
838,503120,1
20693,503121,1
840,503122,1
841,503123,1
3450,503124,1
6063,503125,1
844,503126,1
845,503127,1
846,503128,1
20697,503129,1
6049,503130,1
849,503131,1
850,503132,1
851,503133,1
7771,503134,1
8561,503135,1
854,503136,1
6046,503137,1
856,503138,1
7206,503139,1
10300,503140,1
9362,503141,1
860,503142,1
10296,503143,1
21177,503144,1
6435,503145,1
864,503146,1
6522,503147,1
21049,503149,1
21155,503150,1
6203,503151,1
18372,503152,1
17809,503153,1
6181,503154,1
11834,503155,1
19440,503156,1
20461,503157,1
19640,503158,1
19220,503159,1
9339,503160,1
4261,503162,1
4262,503163,1
20283,503164,1
20284,503165,1
9630,503166,1
20294,503167,1
20295,503168,1
20299,503169,1
20300,503170,1
21064,503172,1
20302,503173,1
20303,503175,1
20310,503176,1
21081,503178,1
20323,503179,1
20326,503180,1
20329,503181,1
20286,503183,1
20285,503184,1
20306,503185,1
20322,503186,1
20318,503188,1
20327,503191,1
4317,503194,1
20333,503199,1
20328,503200,1
21056,503201,1
20298,503202,1
16166,503203,1
20331,503204,1
20332,503205,1
20368,503206,1
20287,503207,1
20290,503208,1
20288,503211,1
20291,503212,1
20292,503213,1
20293,503214,1
20305,503215,1
20307,503216,1
20308,503217,1
20309,503218,1
20311,503219,1
20312,503220,1
20313,503221,1
20314,503222,1
20315,503223,1
20320,503226,1
20319,503228,1
20321,503229,1
20324,503230,1
20325,503231,1
20389,503232,1
20706,503234,1
20334,503236,1
20336,503237,1
20337,503238,1
20335,503239,1
20338,503240,1
20339,503241,1
20842,503242,1
20341,503243,1
20342,503244,1
20343,503245,1
20344,503246,1
20345,503247,1
20346,503248,1
20352,503250,1
20353,503251,1
20354,503253,1
20355,503257,1
20356,503259,1
20357,503260,1
20358,503261,1
20360,503262,1
20361,503263,1
20362,503264,1
20364,503265,1
20365,503267,1
20366,503271,1
17943,503272,1
20369,503273,1
20370,503274,1
20371,503276,1
20373,503277,1
20374,503278,1
964,503279,1
965,503280,1
19173,503281,1
19200,503282,1
17961,503284,1
17658,503285,1
6845,503286,1
971,503287,1
6846,503290,1
973,503293,1
17945,503295,1
17944,503296,1
8406,503297,1
8412,503299,1
6847,503302,1
17951,503303,1
8410,503304,1
21101,503305,1
20347,503309,1
20349,503310,1
20350,503311,1
20351,503312,1
20375,503315,1
20378,503316,1
20379,503318,1
20376,503319,1
8419,503320,1
20866,503321,1
20380,503322,1
20381,503323,1
20383,503324,1
20382,503325,1
8418,503327,1
3381,503328,4
998,503330,1
999,503331,1
4264,503333,1
19990,503334,1
8415,503337,1
17954,503338,1
11767,503339,1
1005,503343,1
17956,503345,1
6842,503348,1
20451,503349,1
20452,503350,1
20453,503351,1
20431,503352,1
20432,503353,1
20433,503354,1
20434,503355,1
20435,503356,1
20437,503357,1
20439,503358,1
20444,503359,1
20445,503360,1
20446,503361,1
20447,503362,1
20450,503363,1
20418,503365,1
20420,503366,1
20422,503367,1
20425,503368,1
20426,503369,1
20427,503370,1
20705,503371,1
1030,503372,1
20477,503374,1
20484,503375,1
20483,503376,1
20482,503377,1
20481,503378,1
20480,503379,1
20472,503380,1
20471,503381,1
20470,503382,1
20455,503383,1
20466,503384,1
20465,503385,1
20464,503386,1
20463,503387,1
20436,503388,1
20430,503389,1
20429,503390,1
20424,503391,1
20423,503392,1
20419,503393,1
20417,503394,1
20438,503395,1
20467,503396,1
20468,503397,1
20796,503398,1
20462,503399,1
20476,503400,1
20441,503401,1
1059,503402,1
20304,503404,1
17873,503405,1
13079,503406,1
19179,503407,1
21048,503408,1
19156,503409,1
4268,503413,1
6849,503414,1
17950,503416,1
8398,503417,1
6850,503418,1
17957,503419,1
17955,503421,1
8408,503422,1
8407,503423,1
17959,503424,1
8548,503427,1
17960,503431,1
8392,503436,1
19828,503437,1
17958,503438,1
10138,503439,1
8394,503440,1
21114,503441,1
8388,503442,1
8393,503443,1
1086,503445,1
4271,503446,1
5168,503447,1
6856,503448,1
6857,503449,1
17947,503451,1
17953,503452,1
1093,503454,1
6859,503456,1
6866,503460,1
6867,503461,1
6868,503462,1
17952,503465,1
19111,503466,1
